original_index,original_class,success,boundary_x1,boundary_x2,distance,method,neutrality,proximity_l2,flip_correct
232,0.0,False,-2.304266,-0.4518699,0.7071061,fgsm,,,False
233,1.0,False,3.5458407,2.902167,0.70710677,fgsm,,,False
234,0.0,False,-5.3491845,-0.746822,0.7071145,fgsm,,,False
235,1.0,False,2.5037663,1.7998762,0.7071061,fgsm,,,False
236,0.0,False,-3.2935529,1.305184,0.7071061,fgsm,,,False
237,1.0,False,3.1749651,0.9472501,0.7071061,fgsm,,,False
238,0.0,False,-1.9417481,1.6044616,0.7071061,fgsm,,,False
239,1.0,False,2.2463882,2.8103652,0.7071061,fgsm,,,False
240,0.0,False,-2.3175774,1.3751948,0.7071062,fgsm,,,False
241,0.0,False,-1.4536103,0.31057963,0.7071065,fgsm,,,False
242,0.0,False,-3.4610732,-1.0011501,0.7071061,fgsm,,,False
243,0.0,False,-4.6163726,-0.24232619,0.7071145,fgsm,,,False
244,1.0,False,3.8967178,3.2376173,0.70711267,fgsm,,,False
245,1.0,False,2.2915134,0.6047354,0.7071061,fgsm,,,False
246,1.0,False,0.615525,1.2052351,0.7071061,fgsm,,,False
247,1.0,False,1.9679923,2.8395324,0.7071061,fgsm,,,False
248,1.0,False,1.8945704,0.66600513,0.7071061,fgsm,,,False
249,0.0,False,-1.9089801,0.39353067,0.70710635,fgsm,,,False
250,1.0,False,3.8642616,3.6281285,0.7071142,fgsm,,,False
251,0.0,False,-3.8821497,0.40278104,0.7071128,fgsm,,,False
252,0.0,False,-3.7792351,0.16943297,0.707111,fgsm,,,False
253,1.0,False,4.06034,2.5486557,0.7071145,fgsm,,,False
254,1.0,False,3.0321786,1.0854485,0.7071061,fgsm,,,False
255,0.0,False,-2.250115,0.24538001,0.70710653,fgsm,,,False
256,1.0,False,4.5347667,1.3066757,0.7071145,fgsm,,,False
257,1.0,False,2.4721458,0.5283519,0.7071061,fgsm,,,False
258,0.0,False,-0.91456854,1.7223307,0.7071061,fgsm,,,False
259,0.0,False,-3.1024106,-0.5704651,0.7071061,fgsm,,,False
260,0.0,False,-1.8037565,1.8925916,0.7071061,fgsm,,,False
261,0.0,False,-3.2080138,1.3070744,0.7071061,fgsm,,,False
262,0.0,False,-2.299334,-0.96443045,0.7071061,fgsm,,,False
263,1.0,False,3.9990828,2.007624,0.70711434,fgsm,,,False
264,0.0,False,-1.2949004,2.2693417,0.7071061,fgsm,,,False
265,0.0,False,-2.912147,-0.1546978,0.70710623,fgsm,,,False
266,0.0,False,-3.3645606,1.7632297,0.7071061,fgsm,,,False
267,1.0,False,2.9001071,3.322638,0.7071061,fgsm,,,False
268,1.0,False,4.2909617,1.8676517,0.7071145,fgsm,,,False
269,0.0,False,-2.580704,0.101206265,0.70710635,fgsm,,,False
270,0.0,False,-1.3460218,-0.27629983,0.7071061,fgsm,,,False
271,0.0,False,-2.2254817,0.898802,0.7071061,fgsm,,,False
272,1.0,False,3.0098343,0.44079798,0.7071061,fgsm,,,False
273,1.0,False,2.9198916,1.6657436,0.7071061,fgsm,,,False
274,1.0,False,5.1169515,3.0220685,0.7071145,fgsm,,,False
275,1.0,False,1.2658832,1.6873128,0.7071061,fgsm,,,False
276,1.0,False,1.6904037,3.305779,0.7071061,fgsm,,,False
277,0.0,False,-2.0970156,-0.033938095,0.7071063,fgsm,,,False
278,0.0,False,-4.750301,0.65590274,0.70711464,fgsm,,,False
279,0.0,False,-0.8953525,0.3962569,0.70710635,fgsm,,,False
280,1.0,False,2.5334365,2.2993987,0.7071061,fgsm,,,False
281,1.0,False,2.4532707,0.7205837,0.7071061,fgsm,,,False
282,0.0,False,-3.6186182,-0.11805991,0.70710814,fgsm,,,False
283,0.0,False,-1.8120389,-0.8058753,0.7071061,fgsm,,,False
284,1.0,False,3.9757211,4.525557,0.70712245,fgsm,,,False
285,1.0,False,3.8092508,2.4289417,0.7071112,fgsm,,,False
286,0.0,False,-1.6244221,0.27466103,0.7071065,fgsm,,,False
287,0.0,False,-4.1883307,0.21524532,0.70711493,fgsm,,,False
288,0.0,False,-3.008237,0.7615701,0.7071061,fgsm,,,False
289,1.0,False,4.306393,1.5092256,0.7071145,fgsm,,,False
290,0.0,False,-3.2204766,-1.4058673,0.7071061,fgsm,,,False
291,0.0,False,-2.2745936,-1.5359242,0.7071061,fgsm,,,False
292,1.0,False,3.593848,0.84956765,0.7071076,fgsm,,,False
293,1.0,False,0.42142463,3.249227,0.7071061,fgsm,,,False
294,0.0,False,-1.6346338,1.0915825,0.7071061,fgsm,,,False
295,0.0,False,-2.862789,-0.22023286,0.7071062,fgsm,,,False
296,1.0,False,3.5052195,1.9115338,0.7071061,fgsm,,,False
297,1.0,False,2.8205187,1.7331429,0.7071061,fgsm,,,False
298,1.0,False,2.7230773,2.5974836,0.7071061,fgsm,,,False
299,0.0,False,-2.7478726,0.19198589,0.7071065,fgsm,,,False
300,0.0,False,-2.852018,0.32116383,0.7071064,fgsm,,,False
301,1.0,False,3.4831562,0.622422,0.7071061,fgsm,,,False
302,0.0,False,-2.9982982,-0.099223636,0.70710623,fgsm,,,False
303,0.0,False,-2.6007366,1.221354,0.7071062,fgsm,,,False
304,1.0,False,3.6925352,1.4140395,0.70710933,fgsm,,,False
305,0.0,False,-1.9279468,2.2103474,0.7071061,fgsm,,,False
306,0.0,False,-2.0319924,-0.76169217,0.7071061,fgsm,,,False
307,0.0,False,0.40777844,0.3576466,0.70710665,fgsm,,,False
308,0.0,False,-1.464048,-0.44411135,0.7071061,fgsm,,,False
309,1.0,False,3.248,2.8054395,0.7071061,fgsm,,,False
310,1.0,False,3.2148674,0.26997703,0.7071061,fgsm,,,False
311,0.0,False,-1.289893,-1.074665,0.7071061,fgsm,,,False
312,1.0,False,2.263192,4.9170465,0.7071145,fgsm,,,False
313,1.0,False,3.687613,1.0504698,0.70710915,fgsm,,,False
314,0.0,False,-3.3179533,-0.14100416,0.70710623,fgsm,,,False
315,1.0,False,2.7009978,2.4998102,0.7071061,fgsm,,,False
316,0.0,False,-2.101596,0.31389806,0.7071065,fgsm,,,False
317,1.0,False,3.3107667,2.444008,0.7071061,fgsm,,,False
318,1.0,False,2.0887353,3.9644217,0.70711386,fgsm,,,False
319,0.0,False,-3.7473307,-1.5038099,0.70711017,fgsm,,,False
320,0.0,False,-2.3709524,-0.64431024,0.7071061,fgsm,,,False
321,0.0,False,-3.325987,0.9170122,0.7071061,fgsm,,,False
322,1.0,False,3.82477,2.2678537,0.7071115,fgsm,,,False
323,1.0,False,1.8788662,2.7926369,0.7071061,fgsm,,,False
324,0.0,False,-5.5744066,0.63707966,0.70711464,fgsm,,,False
325,0.0,False,-2.5136988,-0.22660454,0.7071062,fgsm,,,False
326,1.0,False,2.3595092,1.6515484,0.7071061,fgsm,,,False
327,0.0,False,-5.5270925,1.308436,0.7071146,fgsm,,,False
328,1.0,False,4.380006,1.4433651,0.7071145,fgsm,,,False
329,1.0,False,3.2192898,0.7569938,0.7071061,fgsm,,,False
330,1.0,False,2.1681068,1.8617673,0.7071061,fgsm,,,False
331,1.0,False,3.2229707,3.101627,0.7071061,fgsm,,,False
332,1.0,False,2.9273634,3.874316,0.7071124,fgsm,,,False
